"region","country","year","NY.GDP.PCAP.KD","SH.XPD.CHEX.GD.ZS"
"Middle East & North Africa","Lebanon",2020,6485.72603986915,7.57650805
"Sub-Saharan Africa","Lesotho",2020,944.247169219343,10.27927017
"Sub-Saharan Africa","Liberia",2020,612.38424757045,16.96832657
"Europe & Central Asia","Lithuania",2020,17247.5436933039,7.48
"Europe & Central Asia","Luxembourg",2020,104616.03467801,5.74
"Sub-Saharan Africa","Madagascar",2020,433.838239991494,3.72316122
"Sub-Saharan Africa","Malawi",2020,562.783038786531,7.0088768
"East Asia & Pacific","Malaysia",2020,10382.7274795282,4.08395433
"South Asia","Maldives",2020,7164.30738408638,11.35
"Sub-Saharan Africa","Mali",2020,745.885984785402,3.47597885
"Middle East & North Africa","Malta",2020,26071.2199006125,10.74
"East Asia & Pacific","Marshall Islands",2020,5066.00583867987,12.58777618
"Sub-Saharan Africa","Mauritania",2020,1588.36203400464,3.38773394
"Sub-Saharan Africa","Mauritius",2020,9362.87435896817,6.48210192
"Latin America & Caribbean","Mexico",2020,9279.04949552593,6.22204065
"East Asia & Pacific","Micronesia, Fed. Sts.",2020,2918.51606374186,10.84531593
"Europe & Central Asia","Moldova",2020,3188.91691602699,7
"Europe & Central Asia","Monaco",2020,166822.571755127,4.27983093
"East Asia & Pacific","Mongolia",2020,4106.60268340307,4.6662488
"Europe & Central Asia","Montenegro",2020,6515.53680560451,11.42
"Middle East & North Africa","Morocco",2020,3081.662109375,5.83834505
"Sub-Saharan Africa","Mozambique",2020,584.314962076344,7.56957626
"East Asia & Pacific","Myanmar",2020,1291.40780889804,4.62
"Sub-Saharan Africa","Namibia",2020,4152.1806478348,8.90162563
"East Asia & Pacific","Nauru",2020,7346.67044815047,12.68183994
"South Asia","Nepal",2020,1018.10791076278,5.21
"Europe & Central Asia","Netherlands",2020,46303.21886247,11.21
"East Asia & Pacific","New Zealand",2020,39596.5266174221,10.07205391
"Latin America & Caribbean","Nicaragua",2020,1904.49290359384,8.65219975
"Sub-Saharan Africa","Niger",2020,519.696077799466,6.17012262
"Sub-Saharan Africa","Nigeria",2020,2401.1834151547,3.38063431
"Europe & Central Asia","North Macedonia",2020,5743.72649424581,7.73
"Europe & Central Asia","Norway",2020,75287.2059530897,11.42
"Middle East & North Africa","Oman",2020,17662.242841682,5.25332022
"South Asia","Pakistan",2020,1578.42963292881,2.95273018
"East Asia & Pacific","Palau",2020,14597.3350379481,14.34041405
"Latin America & Caribbean","Panama",2020,12307.2592047015,10.8049345
"East Asia & Pacific","Papua New Guinea",2020,2455.14534207974,2.30193973
